排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
153,创业成份,BK0638,2422.42,7.14,0.3,10110372864000,1.03,58,42,智飞生物,11.81
154,高成长股,BK1721,1093.57,3.27,0.3,5361222912000,1.06,51,46,浙江世宝,10.02
155,化工原料,BK0512,27966.3,83.51,0.3,1892106512000,1.17,56,36,赤天化,9.97
156,沪股通,BK0707,2491.48,7.15,0.29,74757394432000,0.46,971,630,金辰股份,10.02
157,雄安新区,BK0813,941.62,2.69,0.29,2122132320000,0.55,91,53,恒银科技,5.37
158,石墨烯,BK0617,2762.64,7.92,0.29,1062567568000,1.49,39,25,康盛股份,10.12
159,零售概念,BK1655,833.87,2.42,0.29,3071404928000,0.63,38,24,青岛金王,9.92
160,磁悬浮概念,BK0975,2143.42,6.07,0.28,811609952000,0.42,18,12,西部超导,3.27
161,大盘成长,BK1665,1029.15,2.86,0.28,19333993216000,0.53,56,44,指南针,5.17
162,食品安全,BK0614,7296.7,20.52,0.28,405246656000,1.46,22,25,新 大 陆,7.55
163,碳基材料,BK1006,1191.67,3.27,0.28,193394519000,1.14,12,9,金博股份,4.72
164,虚拟机器人,BK1190,1291.56,3.54,0.27,647029520000,1.5,9,7,大智慧,5.15
165,工业大麻,BK0856,1854.49,4.83,0.26,379229600000,1.15,21,13,聆达股份,4.62
166,冰雪经济,BK1185,954.24,2.43,0.26,303271136000,1.02,23,16,大连圣亚,2.88
167,养老金,BK0823,1643.43,4.27,0.26,5041130240000,0.6,108,85,千金药业,9.98
168,土壤修复,BK1070,1001.6,2.49,0.25,228500546000,0.96,22,13,金埔园林,3.64
169,中药概念,BK0615,2218.79,5.55,0.25,1777648192000,2.04,87,53,千金药业,9.98
170,预制菜概念,BK1025,1058.0,2.53,0.24,590997504000,1.51,33,25,华天酒店,9.95
171,青蒿素,BK0872,2027.9,4.84,0.24,303382208000,0.97,6,5,浙江医药,1.79
172,一带一路,BK0712,1541.51,3.64,0.24,16567655936000,0.45,298,205,金诚信,10.0
173,社区团购,BK0965,841.37,2.0,0.24,486928112000,1.09,16,18,西安饮食,5.23
174,环氧丙烷,BK1011,672.44,1.55,0.23,611212256000,0.8,14,9,瑞华技术,3.69
175,特色药,BK1656,898.36,2.08,0.23,572652432000,1.42,24,14,康恩贝,2.56
176,电商概念,BK0665,2186.29,4.92,0.23,5570333184000,1.12,182,141,千金药业,9.98
177,创投,BK0506,17234.0,40.07,0.23,5522580736000,0.91,151,130,湘财股份,10.03
178,参股新三板,BK0600,2890.7,6.31,0.22,1493545984000,1.06,62,37,鸣志电器,5.04
179,ST股,BK0511,6333.29,13.66,0.22,740731408000,0.82,106,77,*ST顾地,9.4
180,化妆品概念,BK0974,1128.93,2.48,0.22,586097104000,1.55,36,28,青岛金王,9.92
181,小盘股,BK1643,860.11,1.79,0.21,15406905856000,1.0,574,410,康希诺,20.0
182,毛发医疗,BK0996,986.02,1.95,0.2,120606595000,2.58,9,9,澳洋健康,5.41
183,包装材料,BK0733,1225.15,2.4,0.2,143328655000,0.81,15,12,大胜达,1.94
184,煤化工概念,BK0492,10993.87,21.46,0.2,3006479424000,0.97,48,24,赤天化,9.97
185,幽门螺杆菌概念,BK1056,993.38,1.97,0.2,511002016000,2.5,28,27,冀衡医药,10.04
186,近期摘帽,BK1693,1147.53,2.25,0.2,581865008000,1.48,28,37,冀衡医药,10.04
187,船舶制造,BK0729,1178.82,2.38,0.2,754484624000,0.37,10,3,大金重工,1.62
188,病毒防治,BK0675,2632.94,4.89,0.19,1237904576000,1.5,49,54,康希诺,20.0
189,航天航空,BK0480,50058.75,97.3,0.19,1253022800000,0.53,29,27,江航装备,5.64
190,水利建设,BK0597,1937.78,3.73,0.19,2170674256000,0.68,63,48,ST棕榈,5.76
191,体育产业,BK0708,1369.98,2.54,0.19,812585808000,0.88,35,39,*ST顾地,9.4
192,节能环保,BK0494,14693.49,27.95,0.19,5352003584000,0.97,221,186,洪通燃气,10.02
193,PVDF概念,BK1012,1283.66,2.27,0.18,474276880000,0.8,8,8,璞泰来,1.94
194,氢能源,BK0864,1443.31,2.54,0.18,5697149184000,0.61,151,116,康盛股份,10.12
195,通用航空,BK0625,5247.4,9.44,0.18,870697936000,0.49,21,14,北摩高科,2.94
196,储能概念,BK0989,2222.79,3.69,0.17,11700324096000,0.79,263,190,康盛股份,10.12
197,智慧灯杆,BK1069,1725.83,2.9,0.17,147929072000,1.55,15,12,豪尔赛,9.99
198,2025三季报预增,BK1198,1037.52,1.74,0.17,3805804432000,0.79,47,40,珠海冠宇,6.26
199,文娱消费,BK1654,819.48,1.3,0.16,987812048000,1.04,49,36,*ST西旅,4.4
200,独角兽,BK0835,2023.14,3.13,0.15,4788275200000,0.83,54,44,新 大 陆,7.55
201,房屋检测,BK1179,1336.51,2.05,0.15,238916819000,0.93,24,15,罗普斯金,3.53
202,铁路基建,BK0592,2634.54,4.03,0.15,3077066688000,0.42,71,49,电工合金,8.11
203,病原体防治,BK1657,965.82,1.35,0.14,1694370656000,2.74,76,81,冀衡医药,10.04
204,电网概念,BK1647,807.27,1.15,0.14,3011681072000,1.31,115,105,百利电气,10.05
205,彩票概念,BK0671,2552.37,3.69,0.14,150911871000,0.93,8,10,君正集团,3.8
206,区块链,BK0830,1045.87,1.31,0.13,9279273984000,0.5,104,117,金一文化,10.0
207,TOPCon电池,BK1097,892.3,1.14,0.13,668644176000,1.0,20,18,金辰股份,10.02
208,海洋经济,BK0623,3214.73,3.95,0.12,2272233536000,0.86,62,48,尤夫股份,5.95
209,电子身份证,BK1075,1063.47,1.25,0.12,274929440000,2.14,13,24,楚天龙,7.75
210,流感,BK0906,1636.76,1.74,0.11,1452978000000,1.81,64,58,冀衡医药,10.04
211,新零售,BK0825,964.81,1.06,0.11,2205005808000,1.12,80,67,深中华A,10.0
212,退税商店,BK0933,1160.31,1.22,0.11,141116134000,0.63,7,3,豫园股份,1.5
213,土地流转,BK0632,1732.9,1.74,0.1,405450720000,1.5,25,18,海南橡胶,6.38
214,光伏概念,BK0588,3937.44,3.96,0.1,9669940224000,0.75,250,176,捷荣技术,10.0
215,海工装备,BK0601,2192.83,1.93,0.09,2203199376000,1.05,38,37,融发核电,10.05
216,EDA概念,BK0946,1449.78,1.31,0.09,309115024000,0.63,6,5,ST晨鸣,3.17
217,2026一季报预增,BK1680,970.53,0.84,0.09,4366076160000,1.56,62,45,盛屯矿业,5.13
218,有机硅概念,BK0961,1772.09,1.39,0.08,463808896000,1.3,19,15,合盛硅业,2.62
219,乳业,BK0892,1026.31,0.79,0.08,416996496000,1.56,12,18,ST麦趣,4.39
220,钙钛矿电池,BK1094,984.32,0.62,0.06,832113168000,0.98,27,20,金辰股份,10.02
221,冷链物流,BK0852,2022.17,1.02,0.05,1597843456000,1.04,64,49,嘉友国际,6.83
222,并购重组概念,BK1181,1276.42,0.69,0.05,3065328848000,0.92,65,68,锦龙股份,10.05
223,影视概念,BK0847,881.17,0.43,0.05,498348800000,1.26,35,22,大晟文化,4.87
224,2026中报预增,BK1749,1025.62,0.48,0.05,25461316096000,1.07,270,286,江西铜业,10.01
225,2026中报首亏,BK1751,1031.64,0.46,0.04,2220952800000,1.16,144,118,华培动力,10.02
226,转基因,BK0907,1427.75,0.61,0.04,144551792000,2.58,9,10,万向德农,10.03
227,电子竞技,BK0853,1319.68,0.36,0.03,2884352144000,0.74,18,15,海信视像,6.04
228,稀土永磁,BK0578,3488.33,0.91,0.03,1191050352000,0.82,24,21,中矿资源,4.29
229,维生素,BK0895,1917.9,0.58,0.03,474095424000,2.59,16,16,百合股份,4.84
230,微利股,BK1642,825.67,0.2,0.02,822476688000,1.16,48,47,亿利达,5.72
231,猪肉概念,BK0882,1192.86,0.21,0.02,754726272000,0.95,22,15,立华股份,2.39
232,特高压,BK0918,2659.99,0.37,0.01,1889141200000,0.98,50,40,杭电股份,9.99
233,股权激励,BK0567,3601.23,0.28,0.01,5282357248000,0.87,106,102,宇信科技,6.81
234,味蕾经济,BK1653,888.87,0.12,0.01,3478899696000,0.8,43,42,会稽山,5.23
235,融资融券,BK0596,3047.18,0.2,0.01,120998457344000,0.65,1990,1769,金辰股份,10.02
236,尾气治理,BK0932,1912.63,0.26,0.01,327341312000,1.46,16,18,威孚高科,5.66
237,快递概念,BK0990,1107.02,0.12,0.01,571322960000,0.8,21,18,飞马国际,3.51
238,科创板做市股,BK1108,1305.59,0.13,0.01,2377967312000,0.5,25,20,珠海冠宇,6.26
239,智能电网,BK0581,2036.95,-0.09,0.0,2640388736000,1.17,98,94,百利电气,10.05
240,地摊经济,BK0924,1840.14,-0.06,0.0,407817776000,0.61,12,15,西安饮食,5.23
241,股权分散,BK1699,1096.57,-0.02,0.0,4028729936000,1.4,109,111,青山纸业,10.16
242,宁组合,BK1000,658.62,0.0,0.0,5385779968000,0.56,14,10,亿纬锂能,2.68
243,历史新高,BK1675,1645.37,0.08,0.0,194788866000,1.09,1,0,松发股份,0.0
244,深股通,BK0804,1208.25,-0.07,-0.01,41758851328000,1.14,949,875,康盛股份,10.12
245,低空经济,BK1166,1545.42,-0.08,-0.01,3956612784000,0.8,144,137,华阳国际,9.97
246,地下管网,BK1058,1142.92,-0.11,-0.01,390633744000,0.54,25,27,*ST顾地,9.4
247,养老概念,BK0653,2653.39,-0.5,-0.02,2931754928000,1.03,60,64,亿嘉和,5.75
248,交运设备,BK0429,10378.8,-1.67,-0.02,632320176000,0.37,23,27,康尼机电,4.96
249,肝炎概念,BK1078,1393.72,-0.44,-0.03,610225088000,3.99,26,27,千金药业,9.98
250,2026一季报扭亏,BK1682,1002.04,-0.4,-0.04,437986400000,1.9,6,5,德新科技,3.67
251,免疫治疗,BK0698,1471.1,-0.53,-0.04,537433216000,1.51,17,28,智飞生物,11.73
252,机构重仓,BK0552,16882.8,-7.36,-0.04,40341373696000,0.51,550,545,海鸥住工,10.11
253,2026中报扭亏,BK1750,959.97,-0.37,-0.04,6512695040000,1.69,92,100,赤天化,9.97
254,工业互联网,BK0832,2487.34,-1.09,-0.04,5899256320000,0.75,101,95,海信视像,6.04
255,首发经济,BK1186,980.04,-0.45,-0.05,298018096000,1.1,24,17,开开实业,6.26
256,新型城镇化,BK1080,1074.63,-0.56,-0.05,510005360000,1.02,45,52,旺能环境,6.0
257,肝素概念,BK0944,855.17,-0.45,-0.05,186587587000,1.46,6,7,华润双鹤,1.44
258,胎压监测,BK0898,2211.28,-1.43,-0.06,322048800000,1.05,13,13,中国汽研,3.41
259,破发股,BK1672,951.77,-0.66,-0.07,4543973632000,0.92,321,369,康希诺,20.0
260,充电桩,BK0700,3053.83,-2.37,-0.08,4937093120000,1.12,141,116,新亚电子,10.02
261,蓝宝石,BK0674,3940.85,-3.06,-0.08,764286160000,1.45,9,9,蓝思科技,2.88
262,阿里概念,BK0689,2451.95,-1.92,-0.08,8428630016000,0.87,86,90,金一文化,10.0
263,中盘成长,BK1669,1026.63,-0.89,-0.09,8812861952000,1.18,101,104,金诚信,10.0
264,新材料,BK0523,39045.04,-36.57,-0.09,7020722432000,1.36,184,201,精艺股份,10.03
265,抗菌面料,BK1116,1483.37,-1.41,-0.09,124813131000,0.79,8,6,苏豪汇鸿,1.21
266,转债标的,BK0528,12357.53,-10.64,-0.09,6043994112000,0.63,148,162,金诚信,10.0
267,ERP概念,BK1133,1270.26,-1.12,-0.09,236084383000,0.82,12,11,浙商中拓,4.06
268,深圳特区,BK0549,38947.11,-37.56,-0.1,10815242240000,0.86,169,169,宝鹰股份,10.0
269,WiFi,BK0915,1540.8,-1.54,-0.1,804386272000,0.73,13,19,剑桥科技,5.04
270,智能家居,BK0680,2916.19,-2.92,-0.1,3992239936000,0.78,72,86,海鸥住工,10.11
271,氟化工概念,BK0690,5773.22,-5.68,-0.1,1192956624000,0.81,21,21,中矿资源,4.29
272,百日新高,BK1676,1518.43,-1.47,-0.1,299308816000,8.66,6,8,海鸥住工,10.11
273,体外诊断概念,BK0841,1338.18,-1.49,-0.11,794979840000,1.38,27,38,万泰生物,10.0
274,鸿蒙概念,BK0953,1435.31,-1.62,-0.11,2369308352000,1.32,56,71,兆日科技,19.96
275,网络游戏,BK0509,12627.2,-14.04,-0.11,1033266672000,0.78,34,30,大晟文化,5.13
276,跨境电商,BK1115,1433.87,-1.87,-0.13,1622398016000,0.92,69,92,ST喜临门,6.73
277,油气资源,BK1649,820.97,-1.11,-0.14,6217736448000,0.41,67,77,洪通燃气,10.02
278,数字经济,BK1061,1200.88,-1.73,-0.14,1874816928000,1.08,84,99,新 大 陆,7.71
279,ChatGPT概念,BK1126,1847.47,-2.55,-0.14,1083986112000,1.06,23,36,宇信科技,6.81
280,精准诊断,BK1659,933.05,-1.34,-0.14,768643136000,1.49,25,34,万泰生物,10.0
281,大飞机,BK0814,1699.14,-2.42,-0.14,1901397824000,0.67,58,40,民士达,5.53
282,百度概念,BK0845,1590.43,-2.46,-0.15,3047820592000,1.1,65,78,汇金科技,12.0
283,共享经济,BK0807,837.15,-1.29,-0.15,220036972000,0.66,7,12,爱玛科技,2.99
284,HJT电池,BK0908,2908.41,-4.41,-0.15,676583664000,1.07,18,21,金辰股份,10.02
285,宠物经济,BK0993,844.41,-1.38,-0.16,398946496000,1.01,30,40,大千生态,5.32
286,空间站概念,BK0994,2054.52,-3.35,-0.16,376798688000,0.81,9,15,江航装备,5.64
287,智能驾驶,BK0802,2038.58,-3.35,-0.16,7308128512000,0.88,133,156,康盛股份,10.12
288,核污染防治,BK0983,1671.43,-2.68,-0.16,415568048000,0.45,16,15,瑞奇智造,3.96
289,社保重仓,BK0520,12997.12,-20.63,-0.16,191934147000,1.01,8,7,瑞丰新材,5.91
290,第四代半导体,BK1121,2211.16,-3.52,-0.16,103228309000,0.52,2,2,衢州发展,1.71
291,合成生物,BK1174,1277.86,-2.16,-0.17,1454604864000,1.53,63,57,沃森生物,6.38
292,密集调研,BK1700,1070.51,-1.82,-0.17,1864152960000,0.72,14,14,西部矿业,6.69
293,噪声防治,BK1082,1821.71,-3.33,-0.18,51213371000,1.18,4,5,德尔股份,1.06
294,燃料电池概念,BK0682,4097.8,-7.97,-0.19,2972662400000,0.73,58,78,华培动力,10.02
295,科技风格,BK1713,900.95,-1.83,-0.2,20653860608000,0.51,40,59,中科飞测,5.14
296,户外露营,BK1079,1382.38,-2.77,-0.2,133853874000,0.74,9,16,泰鹏智能,4.38
297,数字水印,BK1129,931.65,-1.93,-0.21,94172436000,1.83,8,10,大胜达,2.01
298,天然气,BK0843,1708.59,-3.65,-0.21,5920323328000,0.38,53,65,洪通燃气,10.02
299,量子科技,BK0710,3222.57,-6.64,-0.21,2748744048000,0.48,35,41,楚天龙,7.82
300,UWB概念,BK0880,1690.86,-3.8,-0.22,460684064000,0.9,6,10,合众思壮,1.71
301,军工,BK0490,75182.92,-168.59,-0.22,5687675648000,0.95,195,217,百利电气,10.05
302,新能源车,BK0900,2376.32,-5.31,-0.22,15255730176000,1.06,318,362,康盛股份,10.12
303,EDR概念,BK1049,1700.31,-3.67,-0.22,348578016000,0.78,8,6,光弘科技,1.57
304,湖北自贸,BK0926,2311.89,-5.06,-0.22,639677904000,1.29,17,10,襄阳轴承,2.08
305,短剧互动游戏,BK1151,1135.8,-2.52,-0.22,535410784000,1.39,18,22,横店影视,2.55
306,电子纸概念,BK1057,1021.98,-2.35,-0.23,571845232000,0.85,6,9,ST合力泰,2.74
307,工程机械概念,BK0991,1596.54,-3.67,-0.23,1068026016000,0.51,30,27,同力股份,5.82
308,中俄贸易概念,BK1072,1529.89,-3.69,-0.24,661397328000,0.86,35,44,一拖股份,9.98
309,信创,BK1104,1719.35,-4.37,-0.25,3792915744000,1.06,99,137,兆日科技,19.96
310,智谱AI概念,BK1182,1072.75,-2.7,-0.25,627995952000,1.42,11,22,ST豆神,7.08
311,可燃冰,BK0818,1505.96,-3.75,-0.25,217671617000,0.33,3,5,南钢股份,1.27
312,数据要素,BK1135,1099.5,-2.87,-0.26,1944390544000,0.86,69,88,兆日科技,19.96
313,同步磁阻电机,BK1131,2062.03,-5.32,-0.26,90596034000,0.91,3,4,佳电股份,1.35
314,PLC概念,BK1119,1422.58,-3.64,-0.26,347669264000,0.51,5,5,汇川技术,1.51
315,汽车一体化压铸,BK1093,1291.44,-3.49,-0.27,315161600000,0.9,12,15,东风股份,2.05
316,数据中心,BK0922,2016.44,-5.55,-0.27,11089466624000,0.79,130,166,上海洗霸,10.0
317,卫星导航,BK0629,5990.89,-16.32,-0.27,1122255392000,0.54,35,38,新宁物流,2.93
318,小红书概念,BK1187,1149.2,-3.07,-0.27,775326112000,1.2,31,42,ST喜临门,6.73
319,网红经济,BK0940,702.24,-1.89,-0.27,1175089376000,1.21,52,72,千金药业,9.98
320,婴童概念,BK0664,1643.11,-4.59,-0.28,1234604288000,1.18,67,84,千金药业,9.98
321,边缘计算,BK0860,2028.3,-5.78,-0.28,3241082800000,0.52,53,65,新 大 陆,7.55
322,麒麟电池,BK1092,1868.5,-5.2,-0.28,1899047520000,0.72,5,3,宁德时代,2.08
323,华为欧拉,BK1013,1086.04,-3.09,-0.28,214313706000,1.5,5,13,宇信科技,6.81
324,屏下摄像,BK0947,891.29,-2.54,-0.28,540980016000,0.71,3,6,深天马Ａ,1.07
325,特斯拉概念,BK0644,6549.54,-19.34,-0.29,6547311872000,1.04,92,117,中熔电气,7.89
326,IPv6,BK0897,1340.6,-3.95,-0.29,588562256000,0.52,6,5,大唐电信,1.14
327,车联网(车路云),BK0920,1404.65,-4.14,-0.29,5678029312000,0.66,96,113,万集科技,3.83
328,次新股,BK0501,22144.74,-64.28,-0.29,7412710400000,2.33,66,80,国仪公司-U,5.36
329,飞行汽车(eVTOL),BK1157,1926.76,-5.63,-0.29,1040422544000,0.98,35,44,建新股份,6.47
330,智慧政务,BK0886,1324.56,-3.89,-0.29,611388592000,1.07,29,52,楚天龙,7.82
331,小米汽车,BK1155,1574.67,-4.65,-0.29,4576615168000,1.03,45,58,浙江世宝,10.02
332,国产软件,BK0696,3166.81,-9.25,-0.29,2774007072000,1.16,89,134,华阳国际,9.97
333,基因测序,BK0693,1870.62,-5.7,-0.3,438522320000,2.11,20,25,透景生命,6.91
334,F5G概念,BK1088,4707.9,-14.0,-0.3,1924521872000,1.17,8,17,新亚电子,10.02
335,谷子经济,BK1183,979.55,-2.93,-0.3,554874240000,1.14,34,39,远 望 谷,3.7
336,互联网医疗,BK0837,956.1,-2.89,-0.3,4584652288000,1.02,42,55,莱美药业,7.32
337,小盘成长,BK1667,938.29,-2.78,-0.3,6012515584000,1.23,165,212,康希诺,20.0
338,虚拟数字人,BK1055,1200.86,-3.61,-0.3,3174098016000,1.1,34,46,宇信科技,6.81
339,BC电池,BK1148,1241.74,-3.72,-0.3,579765680000,0.86,13,13,海天股份,5.56
340,B股,BK0636,896.37,-2.83,-0.31,685742144000,0.09,16,49,伊泰Ｂ股,4.19
341,智慧城市,BK0628,5299.56,-16.53,-0.31,2502236448000,0.99,84,122,豪尔赛,9.99
342,C2M概念,BK0955,1335.61,-4.16,-0.31,272912672000,0.55,11,22,卓翼科技,2.34
343,物联网,BK0554,16001.94,-49.56,-0.31,10220636928000,0.92,152,210,宝鹰股份,10.0
344,降解塑料,BK0909,1972.32,-6.25,-0.32,817284576000,0.92,29,35,海南橡胶,6.38
345,军民融合,BK0808,1838.5,-5.98,-0.32,3084829152000,0.75,88,85,广哈通信,4.12
346,DeepSeek概念,BK1188,1204.71,-3.98,-0.33,4480251904000,1.04,105,144,华培动力,10.02
347,AI智能体,BK0809,1112.85,-3.64,-0.33,2110784656000,1.04,58,93,金一文化,10.0
348,SPD概念,BK1147,986.45,-3.23,-0.33,146374121000,1.36,4,10,开开实业,6.26
349,职业教育,BK1022,1268.04,-4.3,-0.34,637228160000,1.01,28,37,西安饮食,5.23
350,汽车热管理,BK1089,1926.62,-6.58,-0.34,985608384000,1.14,39,51,康盛股份,10.12
351,AI应用,BK1629,730.65,-2.5,-0.34,3688293936000,1.1,93,152,汇金科技,11.48
352,贬值受益,BK0812,1663.49,-5.8,-0.35,8140615936000,0.87,70,110,正泰电源,4.96
353,资源开采概念,BK1017,1616.41,-5.66,-0.35,3176728864000,0.17,8,18,金诚信,10.0
354,PEEK材料概念,BK1156,1737.78,-6.08,-0.35,843697248000,1.0,22,25,瑞华技术,3.69
355,重组蛋白,BK1063,1014.92,-3.7,-0.36,388909984000,2.68,17,15,沃森生物,6.38
356,创新药,BK1106,1466.4,-5.45,-0.37,3935471136000,2.04,91,101,千金药业,9.98
357,华为汽车,BK0984,2110.69,-7.91,-0.37,1756451648000,0.8,57,64,中熔电气,7.99
